0	she leans forward
1	she takes out some stuffs
2	she stands at the table
3	she fishes around her bag
4	she carries a bag
5	she bends over
6	she looks at the desk
7	she walks around
8	she leans forward
9	she picks up something from the table
10	she stands at the desk
11	she looks through the papers
12	she puts down the papers on the table
13	a girl stands at the table
14	she bends down
15	she writes a document
16	she writes a letter
17	she writes a paper on the table
18	she talks to someone
19	she puts the sheet into a folder
